
Forward benchmarks (median execution time; plan/setup excluded)
FFmpeg AVTX native dispatch and an SSE4.2-and-below restricted plan are reported through N=131072.
         N  algorithm                   median us    speedup   theory FLOPs     GFLOP/s  samples
      4096  lane8-avx2-fma                 10.212     9.306x            n/a         n/a     9541
      4096  hw-sse-auto                    15.122     6.284x            n/a         n/a     6239
      4096  ffmpeg-sse                     44.520     2.135x            n/a         n/a     2000
      4096  scaled-h16-hybrid              74.139     1.282x            n/a         n/a     1235
      4096  scaled-h16-paired-avx2         58.849     1.615x            n/a         n/a     1524

      8192  radix-2                       225.430     1.000x         450576       1.999      409
      8192  split-radix                   205.968     1.094x         376840       1.830      453
      8192  tangent                       125.370     1.798x         364680       2.909      726
      8192  tangent-x86-asm                27.002     8.349x         364680      13.506     3042
      8192  tangent-sse                    51.485     4.379x         364680       7.083     1668
      8192  tangent-sse2                   51.332     4.392x         364680       7.104     1744
      8192  tangent-sse3                   50.440     4.469x         364680       7.230     1753
      8192  tangent-ssse3                  50.194     4.491x         364680       7.265     1816
      8192  tangent-sse4.1                 50.412     4.472x         364680       7.234     1726
      8192  tangent-sse4.2                 50.155     4.495x         364680       7.271     1817
      8192  lane4-c                       110.560     2.039x            n/a         n/a      816
      8192  lane4-sse                      31.616     7.130x            n/a         n/a     2654
      8192  lane4-sse2                     31.542     7.147x            n/a         n/a     2828
      8192  lane4-sse3                     31.590     7.136x            n/a         n/a     2747
      8192  lane4-ssse3                    31.499     7.157x            n/a         n/a     2832
      8192  lane4-sse4.1                   31.573     7.140x            n/a         n/a     2734
      8192  lane4-sse4.2                   31.538     7.148x            n/a         n/a     2780
      8192  lane4-avx                      22.076    10.212x            n/a         n/a     4132
      8192  lane4-avx-fma                  21.881    10.303x            n/a         n/a     4134
      8192  lane4-avx2                     23.082     9.766x            n/a         n/a     3759
      8192  lane4-avx2-fma                 25.341     8.896x            n/a         n/a     3538
      8192  lane2-sse                      35.878     6.283x            n/a         n/a     2363
      8192  ffmpeg-avtx                    27.659     8.150x            n/a         n/a     3128
      8192  lane8-avx2-fma                 19.351    11.650x            n/a         n/a     4641
      8192  hw-sse-auto                    32.343     6.970x            n/a         n/a     2792
      8192  ffmpeg-sse                    103.485     2.178x            n/a         n/a      836
      8192  scaled-h16-hybrid             163.866     1.376x            n/a         n/a      536
      8192  scaled-h16-paired-avx2        129.356     1.743x            n/a         n/a      722

CSV written to intel-wall-p2.csv
