n,algorithm,median_us,minimum_us,maximum_us,spread_percent
4096,lane4-sse3,13.524000000,13.239000000,13.871000000,4.774
4096,lane4-ssse3,13.480000000,13.195000000,13.862000000,5.055
4096,lane4-sse4.1,13.340000000,13.235000000,13.852000000,4.662
4096,lane4-sse4.2,13.297000000,13.214000000,13.878000000,5.025
4096,lane4-avx,9.893000000,9.611000000,9.944000000,3.465
4096,lane4-avx-fma,9.380000000,9.165000000,9.506000000,3.721
4096,lane4-avx2,10.021000000,9.980000000,10.557000000,5.782
4096,lane4-avx2-fma,9.707000000,9.331000000,10.041000000,7.609
4096,lane2-sse,13.711000000,13.323000000,13.735500000,3.096
4096,ffmpeg-avtx,10.895000000,10.766000000,10.913000000,1.365
4096,lane8-avx2-fma,9.465000000,9.146000000,10.212000000,11.655
4096,hw-sse-auto,13.791500000,13.584000000,15.122000000,11.322
4096,ffmpeg-sse,45.846500000,44.520000000,45.897500000,3.094
4096,scaled-h16-hybrid,76.097500000,74.139000000,76.338000000,2.966
4096,scaled-h16-paired-avx2,58.911000000,58.849000000,60.605500000,2.985
8192,radix-2,224.459000000,218.410500000,225.430000000,3.214
8192,split-radix,207.327000000,205.968000000,210.760500000,2.327
8192,tangent,125.642000000,125.369500000,125.883000000,0.410
8192,tangent-x86-asm,27.001500000,26.947000000,27.760500000,3.019
8192,tangent-sse,53.409000000,51.484500000,53.728500000,4.359
8192,tangent-sse2,53.450000000,51.332000000,84.311500000,64.247
8192,tangent-sse3,52.011500000,50.440000000,52.278500000,3.645
8192,tangent-ssse3,52.126000000,50.194000000,52.410000000,4.415
8192,tangent-sse4.1,51.213000000,50.411500000,52.088000000,3.326
8192,tangent-sse4.2,50.552000000,50.155000000,51.611000000,2.903
8192,lane4-c,114.205000000,110.560000000,114.266000000,3.352
8192,lane4-sse,31.616000000,31.141000000,32.538000000,4.486
8192,lane4-sse2,31.541500000,31.219500000,32.532000000,4.204
8192,lane4-sse3,31.590000000,31.152000000,31.651000000,1.602
8192,lane4-ssse3,31.647000000,31.499000000,32.080500000,1.846
8192,lane4-sse4.1,31.572500000,31.168000000,31.719000000,1.768
8192,lane4-sse4.2,31.537500000,31.179000000,31.681000000,1.610
8192,lane4-avx,22.235000000,22.076000000,22.609500000,2.417
8192,lane4-avx-fma,21.881000000,21.714000000,21.919000000,0.944
8192,lane4-avx2,22.548000000,22.545000000,23.082000000,2.382
8192,lane4-avx2-fma,22.111000000,21.950000000,25.341000000,15.449
8192,lane2-sse,31.969000000,31.613000000,35.878000000,13.491
8192,ffmpeg-avtx,25.983500000,25.708000000,27.659000000,7.589
8192,lane8-avx2-fma,19.351000000,18.978000000,19.423000000,2.345
8192,hw-sse-auto,31.655000000,31.202000000,32.342500000,3.655
8192,ffmpeg-sse,103.485000000,103.377000000,103.508000000,0.127
8192,scaled-h16-hybrid,163.866000000,162.452000000,170.478000000,4.941
8192,scaled-h16-paired-avx2,129.356000000,128.179000000,130.078500000,1.482
